"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","germplasmEntryNumber","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","Grain weight - g|CO_350:0005123","Heading - %|CO_350:0005127","notes"
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93353","PIONEER","PION,Pioneer,Pioneer (USA),PIONEER_USA","","plant","722202","Cornell_WinterOatFounders_2024_GH_10_plant_1","1","1","10","","","test","","6.02","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","100959","DESOTO","03C0701034,6-138,Arkansas X-2-25-10-1,ARKANSAS_X-2-25-10-1,Ark. Sel. No. X-2-25-10-1,BEL001 435,DESO,Desoto,De Soto,DeSoto,De Soto 3293,HUN003 0400889,RCAT011719","","plant","722147","Cornell_WinterOatFounders_2024_GH_11_plant_1","1","1","11","","","test","","8.72","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","85336","TRISPERNIA|CIAV4009","CI4009","","plant","722195","Cornell_WinterOatFounders_2024_GH_12_plant_1","1","1","12","","","test","","3.82","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89330","TRISPERNIA|CIAV5100","CD3915,CI5100","","plant","722204","Cornell_WinterOatFounders_2024_GH_13_plant_1","1","1","13","","","test","","10.48","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93451","NYSEL","Cornell 1375,NYSE,Nysel","","plant","722156","Cornell_WinterOatFounders_2024_GH_14_plant_1","1","1","14","","","test","","2.05","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","86425","DUBOIS","03C0700350,AA 268,CAP 2042,CC 6151,DEU001 28703,DUBO,Dubois,Dubois C.I. 6572,Dubois white 1963,GBR005 00065,GBR005 01656,GBR011 1656,GBR011 65,HUN003 0401097,HUN003 0401368,Indiana 4011-4-92,INDIANA4011-4-92,NLD037 3819,Purdue 4011-4-92,RCAT012494","","plant","722152","Cornell_WinterOatFounders_2024_GH_15_plant_1","1","1","15","","","test","","2.57","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","84661","TRISPERNIA|CIAV6821","ABD52-SP-190,CI6821","","plant","722176","Cornell_WinterOatFounders_2024_GH_16_plant_1","1","1","16","","","test","","7.08","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","97443","NORLINE","03C0800009,392A2-13-1-2-1,AA 269,BGR8959,CC 6154,NORL,Norline,Norline 6903,Norline Oats,Purdue 392A2-13-1-2-1,RL 907","","plant","722201","Cornell_WinterOatFounders_2024_GH_17_plant_1","1","1","17","","","test","","2.1","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","87670","TRISPERNIA|CIAV7008","Abd 52-SP-190,C.D. 3915,CI7008,RL 3,RL 334,Trispernia","","plant","722184","Cornell_WinterOatFounders_2024_GH_18_plant_1","1","1","18","","","test","","4.22","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","84890","DADE","CC 6178,CI7495,CIAV7495,Dade,Dade (MO 04831),Dade Oats,GBR005 00647,GBR005 01661,GBR011 1661,GBR011 647,Missouri 04831,MISSOURI04831,Mo. 04831,MO 04831","","plant","722171","Cornell_WinterOatFounders_2024_GH_19_plant_1","1","1","19","","","test","","4.71","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","90418","WINTER_TURF|CIAV1234","CI1234","","plant","722183","Cornell_WinterOatFounders_2024_GH_1_plant_1","1","1","1","","","test","","6.99","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93811","REHOVOT","Rehovot,RL 252","","plant","722145","Cornell_WinterOatFounders_2024_GH_20_plant_1","1","1","20","","","test","","4.84","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","96046","PENNWIN","CI8312,CIAV8312,Pennsylvania 418-1099,PENNSYLVANIA418-1099,Pennwin,PNWN,RL908,State Sel'n no. PA418-1099","","plant","722203","Cornell_WinterOatFounders_2024_GH_21_plant_1","1","1","21","","","test","","3.72","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92789","CW559","","","plant","722141","Cornell_WinterOatFounders_2024_GH_22_plant_1","1","1","22","","","test","","6.11","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","91744","PENNSYLVANIA621-87","CI9327,CIAV9327","","plant","722148","Cornell_WinterOatFounders_2024_GH_23_plant_1","1","1","23","","","test","","5.19","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","95657","PENNSYLVANIA725-4984","CI9340,CIAV9340","","plant","722182","Cornell_WinterOatFounders_2024_GH_24_plant_1","1","1","24","","","test","","9.34","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","94965","PENNSYLVANIA822-5650","CI9346,CIAV9346","","plant","722186","Cornell_WinterOatFounders_2024_GH_25_plant_1","1","1","25","","","test","","6.29","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93630","PENNSYLVANIA822-7325","CI9349,CIAV9349","","plant","722111","Cornell_WinterOatFounders_2024_GH_26_plant_1","1","1","26","","","test","","5.44","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","86731","WINTER_TURF|CIAV996","CI996","","plant","722151","Cornell_WinterOatFounders_2024_GH_27_plant_1","1","1","27","","","test","","7.44","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89474","BOUNTIFUL|PI101253","","","plant","722155","Cornell_WinterOatFounders_2024_GH_28_plant_1","1","1","28","","","test","","4.06","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","94054","WIR5166_1","WIR51661","","plant","722134","Cornell_WinterOatFounders_2024_GH_29_plant_1","1","1","29","","","test","","5.1","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89675","WINTER_TURF|CIAV1570","CI1570","","plant","722154","Cornell_WinterOatFounders_2024_GH_2_plant_1","1","1","2","","","test","","6.59","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","87239","PI189756","FM358","","plant","722120","Cornell_WinterOatFounders_2024_GH_30_plant_1","1","1","30","","","test","","6.26","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92904","CASTLETON|CIAV2302","1955),AA 402,Avoine Patate,Avoine Patate - Scotch Potato,Avoine Pomme de Terre,Bruce's White,CAP 0112,CAP 0495,Castleton,Castleton Potato,Castleton Potato (Awnless),Castleton Potato (Stanton,Castleton (Stanton, T.R., 1955),Castletown Potato,Challenge,GBR005 00751,Glastulloch,Hamilton,HUN003 0401016,HUN003 0401342,Longhoughton,Payrent,Potato Oat Castleton,RCAT013545,RL 859,RL 870,Schottischer Potato,Scotch Potato,Scotch Potato (Baum, B. R., 1972),Scotch Potato White,T.R.,Washington No. 1957,White Cluster","","plant","722178","Cornell_WinterOatFounders_2024_GH_31_plant_1","1","1","31","","","test","","8.7","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92745","PI194894","","","plant","722113","Cornell_WinterOatFounders_2024_GH_32_plant_1","1","1","32","","","test","","8.41","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","91295","PI222502","F-11,FM334","","plant","722118","Cornell_WinterOatFounders_2024_GH_33_plant_1","1","1","33","","","test","","9.22","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93165","PI222503","F-14,FM335","","plant","722168","Cornell_WinterOatFounders_2024_GH_34_plant_1","1","1","34","","","test","","8.7","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","95386","PI222504","F-22,FM336","","plant","722164","Cornell_WinterOatFounders_2024_GH_35_plant_1","1","1","35","","","test","","4.69","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","90697","F-22-257_15","F-22-25715","","plant","722137","Cornell_WinterOatFounders_2024_GH_36_plant_1","1","1","36","","","test","","5.98","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92743","SA9|PI244467","","","plant","722115","Cornell_WinterOatFounders_2024_GH_37_plant_1","1","1","37","","","test","","4.84","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93453","SA21","","","plant","722125","Cornell_WinterOatFounders_2024_GH_38_plant_1","1","1","38","","","test","","4.74","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","94010","SA22","","","plant","722158","Cornell_WinterOatFounders_2024_GH_39_plant_1","1","1","39","","","test","","8.16","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","87138","LEE|CIAV2042","CROSS_NO1001_FL-1B","","plant","722126","Cornell_WinterOatFounders_2024_GH_3_plant_1","1","1","3","","","test","","8.63","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","95452","BELJE210","Belje 210,Belje210,FM304,PI251576","","plant","722133","Cornell_WinterOatFounders_2024_GH_40_plant_1","1","1","40","","","test","","4.05","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","94098","M-311","FM305,M-311,PI251577","","plant","722172","Cornell_WinterOatFounders_2024_GH_41_plant_1","1","1","41","","","test","","1","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92781","DOMACA_ZOB","Domaca Zeb (Slatine),Domaca Zob,DomacaZob,FM307,PI251579","","plant","722129","Cornell_WinterOatFounders_2024_GH_42_plant_1","1","1","42","","","test","","6.87","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93783","WIR4765","FM526,PI258560,WIR4765","","plant","722132","Cornell_WinterOatFounders_2024_GH_43_plant_1","1","1","43","","","test","","8.93","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","84795","PI259867","10.Z-24,FM340","","plant","722175","Cornell_WinterOatFounders_2024_GH_44_plant_1","1","1","44","","","test","","4.73","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","88538","PI259868","11.Z-43,FM341","","plant","722174","Cornell_WinterOatFounders_2024_GH_45_plant_1","1","1","45","","","test","","7.93","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","86658","PI259869","12.Z-47,FM342","","plant","722153","Cornell_WinterOatFounders_2024_GH_46_plant_1","1","1","46","","","test","","1.57","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89898","PI259871","14.Z-64,FM344","","plant","722131","Cornell_WinterOatFounders_2024_GH_47_plant_1","1","1","47","","","test","","9.3","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","87371","PI264849","588,FM397","","plant","722109","Cornell_WinterOatFounders_2024_GH_48_plant_1","1","1","48","","","test","","3.78","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","89195","PI264858","917,FM348","","plant","722150","Cornell_WinterOatFounders_2024_GH_49_plant_1","1","1","49","","","test","","10.41","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","95443","VICTOR|CIAV2252","03C0701162,AA 023,Bountiful,Garton No. 1174,Garton No. 306,Garton No. 396,Garton No. 453,GBR005 00186,GBR005 01412,GBR011 1412,GBR011 186,RCAT012996,RL 306,RL 780,Storrs Station No. 1009,Victor","","plant","722110","Cornell_WinterOatFounders_2024_GH_4_plant_1","1","1","4","","","test","","8.4","100",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","92177","LIPIK","FM352,Lipik,PI269185","","plant","722121","Cornell_WinterOatFounders_2024_GH_50_plant_1","1","1","50","","","test","","5.28","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","93716","OSIJEK","FM353,Osijek,PI269189","","plant","722177","Cornell_WinterOatFounders_2024_GH_51_plant_1","1","1","51","","","test","","1.91","0",""
"2024","5055","Intercropping Cooperative","Oat breeding programs collaborating on oat intercropping trials","6759","Cornell_WinterOatFounders_2024_GH","96 winter oat founders for genotyping and single plant seed increase","CRD","","","","yes","yes","2024-March-20","","82","Ithaca, NY","94590","AVE265_59","AVE26559,DEU001 51619,DEU001 51730,DEU001 51731,DEU001 51732,DEU001 51733,DEU001 51734,DEU001 51735,DEU001 51736,DEU001 51737,DEU001 51738,DEU001 51739,DEU001 51740,DEU001 51741,DEU001 51742,DEU001 51743,DEU001 51744,DEU001 51745,DEU001 51746,DEU001 51747,DEU001 51748,DEU001 51749,DEU001 51750,DEU001 51751,DEU001 51752,DEU001 51753,DEU001 51754,DEU001 51755,DEU001 51756,DEU001 51757,DEU001 51758,Deutscher Hafer","","plant","722112","Cornell_WinterOatFounders_2024_GH_52_plant_1","1","1","52","","","test","","7.08","100",""
